鞍山,574,230
安阳,473.5,305
蚌埠,510,337.5
包头,424,226
保定,484.5,256
宝鸡,392.5,330
北海,418.5,480
1北京,501,249.5
沧州,501.5,270.5
常州,540,355
1长春,600,182.5
1长沙,457,393
郴州,467.5,425
1成都,355,366
滁州,520,340
达州,400,361
1大连,561,255
德阳,361,358.5
德州,501.5,282
东莞,470,467.5
峨眉山,353.5,386
鄂州,479,374
恩施,422,370
防城港,405,480
佛山,458,467.5
1福州,545,415
抚顺,594,214
抚州,504,404.5
1广州,470,457.5
桂林,435,432.5
贵港,421.5,462.5
1贵阳,404,415
1哈尔滨,620,150
哈密,235,210
海东,335,288.5
1海口,433,501
邯郸,475.5,294
1杭州,542.5,370
1合肥,507.5,352.5
鹤壁,475,307
贺州,451,447.5
衡阳,455,417.5
1呼和浩特,448.5,225
1葫芦岛,539,238
湖州,538,365
怀化,433,405
淮南,508,338.5
黄冈,481,368
黄石,480,375
惠州,490,457
吉林,623.5,187
1济南,507,294
嘉兴,552,367
嘉峪关,288,238
江门,457,470
金华,535,380
锦州,542.5,231
晋中,459,282.5
荆州,446,366.5
九江,497,385
酒泉,300,242
开封,480,321.5
来宾,418.5,457.5
1兰州,360,300
廊坊,497.5,260
乐山,352,380
辽阳,577.5,224
临汾,445,290
陵水,437.5,520
柳州,421,445
六安,496,352.5
龙岩,507.5,430
娄底,447,405
洛阳,452.5,321.5
眉山,353.5,373
绵阳,367,352
1南昌,498.5,397.5
南充,383,362
1南京,525,350
1南宁,410,465
1宁波,560,375
宁德,547.5,405
盘锦,556,228
萍乡,478,407.5
莆田,540,422.5
潜江,450,368.5
钦州,407.5,475
秦皇岛,533,247
1青岛,550,295
清远,467.5,447.5
琼海,440,503.5
泉州,535,430
三门峡,444,319
三明,522.5,407.5
三亚,425,522.5
汕尾,498.5,463.5
商丘,491.5,321.5
1上海,566,360
上饶,520,395
韶关,475,437.5
邵阳,440,406.5
绍兴,550,375
1深圳,485,470
1沈阳,580,213
十堰,433,337
1石家庄,478,275
四平,593,190
苏州,550,360
宿州,510,329
随州,456,350
遂宁,373,370
台州,557.5,386
泰安,519,299
1太原,452.5,275
唐山,520,254.5
1天津,512.5,263
天门,460,365
铁岭,586,204
吐鲁番,195,210
万宁,447.5,516.5
威海,570,280
潍坊,540,290
渭南,431.5,326.5
温州,550,395
文昌,447.5,510
1乌鲁木齐,180,195
无锡,542.5,357.5
梧州,440,460
1武汉,470,366
1西安,415,330
1西宁,325,285
1厦门,525,440
仙桃,455,369
咸宁,470,376
咸阳,402.5,330
襄阳,444,344
湘潭,453,400
孝感,462.5,357.5
新乡,472,315
新余,494,408
信阳,474.5,350
邢台,475.5,285.5
徐州,510,320
许昌,471,330
烟台,553,276
延边,642.5,195
阳泉,467.5,275
宜昌,437,365
宜春,486,409.5
鹰潭,510,397.5
潮汕,507,454
营口,566,239
永州,450,422.5
岳阳,460,385
云浮,448,462
运城,442.5,310
枣庄,513,307.5
漳州,515,444
张掖,325,250
肇庆,457,465
镇江,535,347
1郑州,470,323
中山,462.5,470
1重庆,394,380
珠海,465,485
株洲,462.5,405
驻马店,471,345
淄博,521,288
衢州,525,382.5
漯河,467.5,334
